RecipeName,Cuisine,Quantity,Unit,Ingredient
Tofu Pulao Recipe,Indian,1,teaspoon,coriander powder
Tofu Pulao Recipe,Indian,1,,bay leaf
Tofu Pulao Recipe,Indian,1,cup,tofu  cut
Tofu Pulao Recipe,Indian,2,,tomatoes chopped Take
Tofu Pulao Recipe,Indian,,,coriander  to garnish
Tofu Pulao Recipe,Indian,2,,onions chopped
Tofu Pulao Recipe,Indian,2,,green chillies  chopped
Tofu Pulao Recipe,Indian,1/2,,capsicum green  red or yellow
Tofu Pulao Recipe,Indian,1/2,teaspoon,turmeric powder
Tofu Pulao Recipe,Indian,1,cup,rice
Tofu Pulao Recipe,Indian,1/2,teaspoon,garam masala powder
Tofu Pulao Recipe,Indian,,,salt  according to taste
Tofu Pulao Recipe,Indian,1/2,teaspoon,red chilli powder
Tofu Pulao Recipe,Indian,2,tablespoons,ghee
Radish Soup Recipe,Indian,,,Coriander Dhania Leaves  as required for garnish chopped
Radish Soup Recipe,Indian,1/2,teaspoon,Black pepper powder
Radish Soup Recipe,Indian,,,Mooli/ Mullangi Radish  slices
Radish Soup Recipe,Indian,8,,Mooli / Mullangi Radish  purple one
Radish Soup Recipe,Indian,1/2,teaspoon,Salt
Radish Soup Recipe,Indian,2,cups,Water
Radish Soup Recipe,Indian,1/4,teaspoon,Garam masala powder
Crunchy Ginger Capsicum Rice Recipe,Indian,,,Salt  to taste
Crunchy Ginger Capsicum Rice Recipe,Indian,2,teaspoon,Butter
Crunchy Ginger Capsicum Rice Recipe,Indian,1,,Red Bell pepper Capsicum
Crunchy Ginger Capsicum Rice Recipe,Indian,2,cups,Basmati rice  cooked
Crunchy Ginger Capsicum Rice Recipe,Indian,2,,Green Chillies  finely chopped
Crunchy Ginger Capsicum Rice Recipe,Indian,1,,Green Bell Pepper Capsicum
Crunchy Ginger Capsicum Rice Recipe,Indian,2,inch,Ginger  grated
Crunchy Ginger Capsicum Rice Recipe,Indian,2,teaspoon,Sesame seeds Til seeds  mixed black and white
Crunchy Ginger Capsicum Rice Recipe,Indian,1,,Yellow Bell Pepper Capsicum
Elephant Yam Raita (Recipe In Hindi),Indian,1/2,,green chilli
Elephant Yam Raita (Recipe In Hindi),Indian,11/2,teaspoon,Rye
Elephant Yam Raita (Recipe In Hindi),Indian,,,asafetida  a pinch
Elephant Yam Raita (Recipe In Hindi),Indian,250,grams,Elephant yam
Elephant Yam Raita (Recipe In Hindi),Indian,,,salt  as per taste
Elephant Yam Raita (Recipe In Hindi),Indian,3,tablespoons,coriander  chopped
Elephant Yam Raita (Recipe In Hindi),Indian,1,inch,ginger
Elephant Yam Raita (Recipe In Hindi),Indian,1,cup,curd
Elephant Yam Raita (Recipe In Hindi),Indian,1,teaspoon,oil
Elephant Yam Raita (Recipe In Hindi),Indian,11/2,teaspoon,Kali Urad Dal Split
Spicy Lemon Chicken Kebab Recipe,Indian,2,tablespoon,Extra Virgin Olive Oil
Spicy Lemon Chicken Kebab Recipe,Indian,1,,Red Bell pepper Capsicum  cut into squares
Spicy Lemon Chicken Kebab Recipe,Indian,,,Salt  to taste
Spicy Lemon Chicken Kebab Recipe,Indian,1,,Onion cut into chunks
Spicy Lemon Chicken Kebab Recipe,Indian,1,,Chicken breasts  cut into cubes
Spicy Lemon Chicken Kebab Recipe,Indian,1,teaspoon,Red Chilli flakes
Spicy Lemon Chicken Kebab Recipe,Indian,1,,Lemon juice
Spicy Lemon Chicken Kebab Recipe,Indian,1,teaspoon,Black pepper powder
Spicy Lemon Chicken Kebab Recipe,Indian,1,teaspoon,Dried Thyme Leaves
Basil Tincture Recipe (Or) - Herbal Drink From Basil,Indian,1/2,teaspoon,Dry ginger powder
Basil Tincture Recipe (Or) - Herbal Drink From Basil,Indian,1,teaspoon,Palm sugar  Panakalkandu
Basil Tincture Recipe (Or) - Herbal Drink From Basil,Indian,1/2,teaspoon,Black pepper powder
Basil Tincture Recipe (Or) - Herbal Drink From Basil,Indian,1,,Tulsi holy basil
Basil Tincture Recipe (Or) - Herbal Drink From Basil,Indian,2,cups,Water
Cheese Stuffed Aloo Bonda Recipe,Indian,1/2,teaspoon,Turmeric powder Haldi
Cheese Stuffed Aloo Bonda Recipe,Indian,,,Salt  to taste
Cheese Stuffed Aloo Bonda Recipe,Indian,1,inch,Ginger  grated
Cheese Stuffed Aloo Bonda Recipe,Indian,1,teaspoon,Mustard seeds
Cheese Stuffed Aloo Bonda Recipe,Indian,1,,Onion finely chopped
Cheese Stuffed Aloo Bonda Recipe,Indian,,,Coriander Dhania Leaves  small bunch
Cheese Stuffed Aloo Bonda Recipe,Indian,50,grams,Mozzarella cheese  cut into 1/2 inch pieces
Cheese Stuffed Aloo Bonda Recipe,Indian,1,cup,Gram flour besan
Cheese Stuffed Aloo Bonda Recipe,Indian,1/4,teaspoon,Asafoetida hing
Cheese Stuffed Aloo Bonda Recipe,Indian,,,Sunflower Oil  as needed
Cheese Stuffed Aloo Bonda Recipe,Indian,2,,Green Chillies  chopped
Cheese Stuffed Aloo Bonda Recipe,Indian,1,teaspoon,Turmeric powder Haldi
Cheese Stuffed Aloo Bonda Recipe,Indian,4,,Potatoes Aloo  boiled and mashed
Pudina Mushroom And Soya Biryani Recipe,Indian,1/4,cup,Mint Leaves Pudina  finely chopped
Pudina Mushroom And Soya Biryani Recipe,Indian,1,teaspoon,Ajwain Carom seeds
Pudina Mushroom And Soya Biryani Recipe,Indian,1/2,cup,Curd Dahi / Yogurt
Pudina Mushroom And Soya Biryani Recipe,Indian,3,,cloves Garlic
Pudina Mushroom And Soya Biryani Recipe,Indian,2,teaspoon,Red Chilli powder
Pudina Mushroom And Soya Biryani Recipe,Indian,1,teaspoon,Garam masala powder
Pudina Mushroom And Soya Biryani Recipe,Indian,,,Salt  to taste
Pudina Mushroom And Soya Biryani Recipe,Indian,1,cup,Onion  sliced
Pudina Mushroom And Soya Biryani Recipe,Indian,1,cup,Button mushrooms  cut into quarters
Pudina Mushroom And Soya Biryani Recipe,Indian,1,teaspoon,Turmeric powder Haldi
Pudina Mushroom And Soya Biryani Recipe,Indian,2,tablespoons,Biryani Masala
Pudina Mushroom And Soya Biryani Recipe,Indian,1,cup,Soy Chunks Nuggets  soaked in hot water
Pudina Mushroom And Soya Biryani Recipe,Indian,2,,Cloves Laung
Pudina Mushroom And Soya Biryani Recipe,Indian,1,inch,Cinnamon Stick Dalchini
Pudina Mushroom And Soya Biryani Recipe,Indian,1,,Cardamom Elaichi Pods/Seeds
Pudina Mushroom And Soya Biryani Recipe,Indian,1,inch,Ginger
Pudina Mushroom And Soya Biryani Recipe,Indian,11/2,cups,Basmati rice  parboiled with spices infused water Spices include Cinnamon
Pudina Mushroom And Soya Biryani Recipe,Indian,2,tablespoons,Ghee
Pudina Mushroom And Soya Biryani Recipe,Indian,1,,Bay leaf tej patta
Pudina Mushroom And Soya Biryani Recipe,Indian,1,,Green Chillies  chopped
Pudina Mushroom And Soya Biryani Recipe,Indian,1,,Star anise
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,Indian,1,teaspoon,Cumin powder Jeera
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,Indian,,,Black Salt Kala Namak  to taste
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,Indian,1/2,teaspoon,Black pepper powder
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,Indian,50,grams,Wheat Grass Powder
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,Indian,1,,Lemon juiced
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,,,coriander leaves  little
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,1,teaspoon,red chilli powder
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,1,,onion finely chopped
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,1,teaspoon,ginger garlic paste
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,1,,cabbag e
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,1,cup,green peas
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,1/2,teaspoon,garam masala powder
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,1/4,teaspoon,turmeric powder
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,11/2,tablespoon,oil
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,,,salt  as per use
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,3,,green chillies
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,1,,tomato finely chopped
Aromatic Vegetable Pulao Recipe,Indian,1,teaspoon,Garam masala powder
Aromatic Vegetable Pulao Recipe,Indian,1/4,cup,Green Bell Pepper Capsicum  chopped
Aromatic Vegetable Pulao Recipe,Indian,1/4,cup,Potato Aloo  cut into small cubes
Aromatic Vegetable Pulao Recipe,Indian,2,,Cardamom Elaichi Pods/Seeds
Aromatic Vegetable Pulao Recipe,Indian,1,,Star anise
Aromatic Vegetable Pulao Recipe,Indian,1,inch,Cinnamon Stick Dalchini
Aromatic Vegetable Pulao Recipe,Indian,1,,Onion chopped
Aromatic Vegetable Pulao Recipe,Indian,4,tablespoons,Sunflower Oil
Aromatic Vegetable Pulao Recipe,Indian,1/4,teaspoon,Red Chilli powder
Aromatic Vegetable Pulao Recipe,Indian,1/4,cup,Carrots Gajjar  chopped
Aromatic Vegetable Pulao Recipe,Indian,,,Coriander Dhania Leaves  a small bunch finely chopped
Aromatic Vegetable Pulao Recipe,Indian,,,Mint Leaves Pudina  a few sprigs finely chopped
Aromatic Vegetable Pulao Recipe,Indian,,,Salt  to taste
Aromatic Vegetable Pulao Recipe,Indian,1,tablespoon,Ginger Garlic Paste
Aromatic Vegetable Pulao Recipe,Indian,2,,Cloves Laung
Aromatic Vegetable Pulao Recipe,Indian,2,cups,Rice
Aromatic Vegetable Pulao Recipe,Indian,1/4,cup,Green peas Matar  steamed
Aromatic Vegetable Pulao Recipe,Indian,1,,Tomato chopped
Spicy Curd Recipe - Spicy Curd With Onions,Indian,1,teaspoon,cumin seeds
Spicy Curd Recipe - Spicy Curd With Onions,Indian,1,,onion finely chopped
Spicy Curd Recipe - Spicy Curd With Onions,Indian,1,,carrot tighten
Spicy Curd Recipe - Spicy Curd With Onions,Indian,1,,green chili  finely chopped
Spicy Curd Recipe - Spicy Curd With Onions,Indian,1,,cucumber chop
Spicy Curd Recipe - Spicy Curd With Onions,Indian,1,Teaspoon,red chilli powder
Spicy Curd Recipe - Spicy Curd With Onions,Indian,,,coriander leaves  a little
Spicy Curd Recipe - Spicy Curd With Onions,Indian,,,Water  as per use
Spicy Curd Recipe - Spicy Curd With Onions,Indian,1/2,teaspoon,cumin seeds  make a powder
Spicy Curd Recipe - Spicy Curd With Onions,Indian,1,cup,curd
Spicy Curd Recipe - Spicy Curd With Onions,Indian,1,teaspoon,oil
Spicy Curd Recipe - Spicy Curd With Onions,Indian,,,salt  according to taste
Mustard Vegetable Curry Recipe,Indian,2,,carrots cut round thinly
Mustard Vegetable Curry Recipe,Indian,1,teaspoon,cumin seeds
Mustard Vegetable Curry Recipe,Indian,2,,cloves garlic  grated
Mustard Vegetable Curry Recipe,Indian,1,teaspoon,red chilli powder
Mustard Vegetable Curry Recipe,Indian,1,cup,vegetable Stock
Mustard Vegetable Curry Recipe,Indian,2,,potatoes boiled
Mustard Vegetable Curry Recipe,Indian,2,tablespoons,Dijon Mustard
Mustard Vegetable Curry Recipe,Indian,1/4,cup,green peas  steam
Mustard Vegetable Curry Recipe,Indian,,,salt  as per taste
Mustard Vegetable Curry Recipe,Indian,1/2,teaspoon,turmeric powder
Mustard Vegetable Curry Recipe,Indian,1/2,cup,coconut milk
Mustard Vegetable Curry Recipe,Indian,2,teaspoons,oil
Mustard Vegetable Curry Recipe,Indian,5,,green beans  cut into small pieces
Mustard Vegetable Curry Recipe,Indian,2,,onions finely chopped
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,11/2,cups,Cauliflower gobi  florets
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,1,inch,Cinnamon Stick Dalchini
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,,,Salt  to taste
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,2,,Cardamom Elaichi Pods/Seeds
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,2,,Green Chillies  slit
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,2,,cloves Garlic  grated
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,10,,Green beans French Beans  diced small
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,1,,Ginge r
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,2,,Carrots Gajjar  diced small
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,2,,Cloves Laung
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,1,,Bay leaf tej patta
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,120,ml,Coconut milk
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,1,teaspoon,Turmeric powder Haldi
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,2,tablespoons,Ghee
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,1,cup,Basmati rice  or any other rice
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,1/4,cup,Rice
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,1,,Carrot Gajjar  finely chopped
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,3,,Green beans French Beans  finely chopped
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,1/4,teaspoon,Cumin seeds Jeera
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,1,teaspoon,Ghee
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,,,Salt  a pinch
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,1/4,cup,Yellow Moong Dal Split
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,1/4,teaspoon,Asafoetida hing
Crispy Chicken Dumplings Recipe,Indian,300,grams,Boneless chicken
Crispy Chicken Dumplings Recipe,Indian,1/2,teaspoon,Turmeric powder Haldi
Crispy Chicken Dumplings Recipe,Indian,11/2,teaspoons,Red Chilli powder
Crispy Chicken Dumplings Recipe,Indian,2,,sprig Curry leaves
Crispy Chicken Dumplings Recipe,Indian,1,tablespoon,Gram flour besan
Crispy Chicken Dumplings Recipe,Indian,,,Salt  to taste
Crispy Chicken Dumplings Recipe,Indian,1,teaspoon,Coriander Powder Dhania
Crispy Chicken Dumplings Recipe,Indian,11/2,teaspoons,Ginger Garlic Paste
Crispy Chicken Dumplings Recipe,Indian,1/2,teaspoon,Black pepper powder
Crispy Chicken Dumplings Recipe,Indian,2,,Green Chillies  slit
Crispy Chicken Dumplings Recipe,Indian,1,,Whole Egg
Crispy Chicken Dumplings Recipe,Indian,1,tablespoon,Corn flour
Crispy Chicken Dumplings Recipe,Indian,,,Sunflower Oil  to deep fry
Moon Biscuits Recipe (Moon Shaped Baked Cookies),Indian,175,grams,Butter unsalted
Moon Biscuits Recipe (Moon Shaped Baked Cookies),Indian,15,grams,Milk Powder
Moon Biscuits Recipe (Moon Shaped Baked Cookies),Indian,1/2,teaspoon,Vanilla Extract
Moon Biscuits Recipe (Moon Shaped Baked Cookies),Indian,300,grams,Vivatta Maida
Moon Biscuits Recipe (Moon Shaped Baked Cookies),Indian,75,grams,Sugar
Moon Biscuits Recipe (Moon Shaped Baked Cookies),Indian,1,pinch,Baking powder
Aloo Matar Masala Khichdi Recipe,Indian,1,tablespoon,Coriander Dhania Leaves  finely chopped for garnish
Aloo Matar Masala Khichdi Recipe,Indian,1,teaspoon,Cumin powder Jeera
Aloo Matar Masala Khichdi Recipe,Indian,1,inch,Cinnamon Stick Dalchini
Aloo Matar Masala Khichdi Recipe,Indian,,,Salt  to taste
Aloo Matar Masala Khichdi Recipe,Indian,1,teaspoon,Cumin seeds Jeera
Aloo Matar Masala Khichdi Recipe,Indian,2,,Cardamom Elaichi Pods/Seeds
Aloo Matar Masala Khichdi Recipe,Indian,1,teaspoon,Coriander Powder Dhania
Aloo Matar Masala Khichdi Recipe,Indian,1/2,teaspoon,Black pepper powder
Aloo Matar Masala Khichdi Recipe,Indian,2,,Green Chillies  finely chopped
Aloo Matar Masala Khichdi Recipe,Indian,1,,Black cardamom Badi Elaichi
Aloo Matar Masala Khichdi Recipe,Indian,1,cup,Rice
Aloo Matar Masala Khichdi Recipe,Indian,3,,Potatoes Aloo  cut into big cubes
Aloo Matar Masala Khichdi Recipe,Indian,1,tablespoon,Ginger Garlic Paste
Aloo Matar Masala Khichdi Recipe,Indian,1,,Bay leaf tej patta
Aloo Matar Masala Khichdi Recipe,Indian,1/2,cup,Green peas Matar
Aloo Matar Masala Khichdi Recipe,Indian,2,,Cloves Laung
Aloo Matar Masala Khichdi Recipe,Indian,1,tablespoon,Ghee
Aloo Matar Masala Khichdi Recipe,Indian,1/2,teaspoon,Red Chilli powder
Aloo Matar Masala Khichdi Recipe,Indian,1,,Onion thinly sliced
Rock Toast Recipe - Semolina Bread Toast,Indian,2,tablespoons,Coriander Dhania Leaves  finely chopped
Rock Toast Recipe - Semolina Bread Toast,Indian,1,,Green Chilli  finely chopped
Rock Toast Recipe - Semolina Bread Toast,Indian,,,Sunflower Oil  for cooking the toast
Rock Toast Recipe - Semolina Bread Toast,Indian,,,Salt  to taste
Rock Toast Recipe - Semolina Bread Toast,Indian,1/2,cup,Green Bell Pepper Capsicum  finely chopped
Rock Toast Recipe - Semolina Bread Toast,Indian,1/4,cup,Onion powder  finely chopped
Rock Toast Recipe - Semolina Bread Toast,Indian,1/4,cup,Curd Dahi / Yogurt
Rock Toast Recipe - Semolina Bread Toast,Indian,1/2,cup,Sooji Semolina/ Rava
Rock Toast Recipe - Semolina Bread Toast,Indian,1,teaspoon,Black pepper powder
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,,,Salt  to sprinkle
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,2,,Tomatoes sliced thin into rounds
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,4,tablespoons,Green Chutney Coriander  Mint
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,,,Black pepper powder  to sprinkle
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,,,Chaat Masala Powder  to sprinkle
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,1,,Cucumber peeled and sliced into thin rounds
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,4,tablespoons,Tomato Ketchup
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,2,tablespoons,Butter
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,8,,Whole Wheat Brown Bread
Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,Indian,2,,Mango Ripe  peeled and cut
Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,Indian,1,cup,Sugar
Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,Indian,1,teaspoon,Saffron strands
Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,Indian,1/4,teaspoon,Cinnamon Powder Dalchini
Royal Bread Gulab Jamun Recipe,Indian,24,,Whole Wheat Brown Bread
Royal Bread Gulab Jamun Recipe,Indian,,,Ghee  for deep frying
Royal Bread Gulab Jamun Recipe,Indian,1,cup,Milk
Royal Bread Gulab Jamun Recipe,Indian,150,grams,Khoya Mawa
Royal Bread Gulab Jamun Recipe,Indian,1,cup,Sugar
Royal Bread Gulab Jamun Recipe,Indian,1/4,cup,Badam Almond  finely chopped
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,,,Sunflower Oil  for cooking
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,teaspoon,Red Chilli powder
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,teaspoon,Ajwain Carom seeds
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,,Onion finely chopped
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,,Tomato chopped
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,,,Salt  to taste
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1/2,teaspoon,Amchur Dry Mango Powder
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,inch,Ginger  grated
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,2,,cloves Garlic  grated
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1/2,teaspoon,Cumin seeds Jeera
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1/2,teaspoon,Mustard seeds
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,teaspoon,Kalonji Onion Nigella Seeds
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,5,,Dry Red Chillies
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,,Coriander Dhania Leaves  finely chopped
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1/4,teaspoon,Methi Seeds Fenugreek Seeds
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1/2,teaspoon,Turmeric powder Haldi
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,tablespoon,Coriander Powder Dhania
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,500,grams,Brinjal Baingan / Eggplant
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,teaspoon,Cumin seeds Jeera
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,teaspoon,Mustard seeds
Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,1,teaspoon,Fennel seeds Saunf
